시 도,시 군 구,1인 가구 비율
서울특별시,종로구,37.9
서울특별시,중구,38.6
서울특별시,용산구,36.3
서울특별시,성동구,32.3
서울특별시,광진구,37.1
서울특별시,동대문구,37.2
서울특별시,중랑구,29.9
서울특별시,성북구,31.4
서울특별시,강북구,30.7
서울특별시,도봉구,23.4
서울특별시,노원구,24.3
서울특별시,은평구,25.9
서울특별시,서대문구,34.3
서울특별시,마포구,35.4
서울특별시,양천구,20.4
서울특별시,강서구,29.4
서울특별시,구로구,27.5
서울특별시,금천구,34.5
서울특별시,영등포구,34.7
서울특별시,동작구,34
서울특별시,관악구,46
서울특별시,서초구,25.5
서울특별시,강남구,30.3
서울특별시,송파구,24.8
서울특별시,강동구,25.5
부산광역시,중구,43.1
부산광역시,서구,35.3
부산광역시,동구,35.7
부산광역시,영도구,32.5
부산광역시,부산진구,33
부산광역시,동래구,24.5
부산광역시,남구,28.7
부산광역시,북구,24.5
부산광역시,해운대구,25
부산광역시,사하구,27.2
부산광역시,금정구,32.3
부산광역시,강서구,23.6
부산광역시,연제구,26.9
부산광역시,수영구,30.7
부산광역시,사상구,29.6
부산광역시,기장군,24.4
대구광역시,중구,37.6
대구광역시,동구,28
대구광역시,서구,30.8
대구광역시,남구,39
대구광역시,북구,27.5
대구광역시,수성구,22
대구광역시,달서구,26
대구광역시,달성군,23.3
인천광역시,중구,33.2
인천광역시,동구,25.7
인천광역시,남구,29.6
인천광역시,연수구,21.9
인천광역시,남동구,24.1
인천광역시,부평구,24
인천광역시,계양구,22.1
인천광역시,서구,20.8
인천광역시,강화군,28.3
인천광역시,옹진군,45.7
광주광역시,동구,39.7
광주광역시,서구,30.9
광주광역시,남구,27.3
광주광역시,북구,29.9
광주광역시,광산구,27.2
대전광역시,동구,36.6
대전광역시,중구,28.1
대전광역시,서구,30.7
대전광역시,유성구,32.3
대전광역시,대덕구,29.5
울산광역시,중구,25.3
울산광역시,남구,27.7
울산광역시,동구,25.4
울산광역시,북구,19.2
울산광역시,울주군,25.4
세종특별시,세종시,30.2
경기도,수원시,28.1
경기도,성남시,27.8
경기도,의정부시,24.4
경기도,안양시,20.8
경기도,부천시,24.2
경기도,광명시,20.9
경기도,평택시,28.6
경기도,동두천시,28.3
경기도,안산시,28.7
경기도,고양시,22.2
경기도,과천시,18.5
경기도,구리시,21.9
경기도,남양주시,18.6
경기도,오산시,28.4
경기도,시흥시,26.5
경기도,군포시,20.7
경기도,의왕시,20.1
경기도,하남시,22.3
경기도,용인시,20.4
경기도,파주시,22.5
경기도,이천시,25.1
경기도,안성시,30
경기도,김포시,20.7
경기도,화성시,25.1
경기도,광주시,22
경기도,양주시,22.3
경기도,포천시,29.3
경기도,여주시,27.6
경기도,연천군,32.9
경기도,가평군,32.3
경기도,양평군,30.3
강원도,춘천시,31.1
강원도,원주시,30.8
강원도,강릉시,34
강원도,동해시,28.2
강원도,태백시,31.5
강원도,속초시,30.9
강원도,삼척시,36.2
강원도,홍천군,31.5
강원도,횡성군,30.5
강원도,영월군,35.3
강원도,평창군,33.7
강원도,정선군,33.5
강원도,철원군,30.7
강원도,화천군,37.9
강원도,양구군,32.8
강원도,인제군,33.5
강원도,고성군,39.6
강원도,양양군,34.4
충청북도,충주시,32.9
충청북도,제천시,32.2
충청북도,청주시,29.4
충청북도,보은군,32.7
충청북도,옥천군,27.8
충청북도,영동군,34.6
충청북도,진천군,31.4
충청북도,괴산군,36.8
충청북도,음성군,34.6
충청북도,단양군,32.8
충청북도,증평군,31.4
충청남도,천안시,32.1
충청남도,공주시,33.4
충청남도,보령시,30.5
충청남도,아산시,29.5
충청남도,서산시,28.2
충청남도,논산시,32.1
충청남도,계룡시,19.5
충청남도,당진시,31.2
충청남도,금산군,35.2
충청남도,부여군,30.9
충청남도,서천군,32
충청남도,청양군,33.1
충청남도,홍성군,32.2
충청남도,예산군,29.7
충청남도,태안군,32
전라북도,전주시,29.3
전라북도,군산시,30.8
전라북도,익산시,31.8
전라북도,정읍시,32.1
전라북도,남원시,32.6
전라북도,김제시,32.1
전라북도,완주군,32.1
전라북도,진안군,35.2
전라북도,무주군,34.1
전라북도,장수군,32.5
