store,address,city,district,lat,lng,population,city_district
개포점,"서울특별시 강남구 논현로 58 (개포동, 동진빌딩)",서울특별시,강남구,37.4755612,127.0472399,542108,서울특별시강남구
논현점,서울특별시 강남구 학동로4길 15,서울특별시,강남구,37.51052070000001,127.0235534,542108,서울특별시강남구
대치점,"서울특별시 강남구 삼성로64길 5, 상가 105호 (대치동, 대치현대아파트)",서울특별시,강남구,37.5008929,127.0610401,542108,서울특별시강남구
삼성점,서울특별시 강남구 봉은사로 451 (삼성동),서울특별시,강남구,37.5120471,127.0490263,542108,서울특별시강남구
압구정점,서울특별시 강남구 압구정로 306 (신사동),서울특별시,강남구,37.5288635,127.03476059999998,542108,서울특별시강남구
역삼점,서울특별시 강남구 역삼로 146 청오빌딩,서울특별시,강남구,37.49452470000001,127.0353681,542108,서울특별시강남구
일원점,"서울특별시 강남구 일원로9길 18, 태경빌딩 102호 (일원동)",서울특별시,강남구,37.4896505,127.0831347,542108,서울특별시강남구
강일점,서울특별시 강동구 상일로 127 (고덕동),서울특별시,강동구,37.5585096,127.1709077,424727,서울특별시강동구
길동점,"서울특별시 강동구 천중로 200 (길동, 다성이즈빌)",서울특별시,강동구,37.5407165,127.142569,424727,서울특별시강동구
둔촌점,"서울특별시 강동구 풍성로 186, 1층 (성내동)",서울특별시,강동구,37.5298086,127.1323739,424727,서울특별시강동구
천호암사점,서울특별시 강동구 올림픽로 738 (천호동),서울특별시,강동구,37.5469963,127.1269933,424727,서울특별시강동구
미아점,"서울특별시 강북구 삼양로24길 19, 102동 101호 (미아동, 현대성우아파트)",서울특별시,강북구,37.6172672,127.02230459999998,316604,서울특별시강북구
번동점,"서울특별시 강북구 덕릉로 147 (번동, 선경빌딩)",서울특별시,강북구,37.6353654,127.0301348,316604,서울특별시강북구
수유점,"서울특별시 강북구 한천로 1131, 104호 (수유동, 수유현대아파트)",서울특별시,강북구,37.64549570000001,127.0182963,316604,서울특별시강북구
강서구청점,서울특별시 강서구 까치산로 189-1,서울특별시,강서구,37.5541459,126.8538918,596233,서울특별시강서구
등촌가양점,서울특별시 강서구 강서로 447,서울특별시,강서구,37.56552,126.8399971,596233,서울특별시강서구
발산점,서울특별시 강서구 강서로 337 (내발산동),서울특별시,강서구,37.5558667,126.8370785,596233,서울특별시강서구
방화점,서울특별시 강서구 금낭화로 69 (방화동),서울특별시,강서구,37.5715479,126.8113644,596233,서울특별시강서구
염창점,"서울특별시 강서구 양천로 731, 309동 102~3호 (염창동, 동아3차아파트)",서울특별시,강서구,37.549794,126.87767920000002,596233,서울특별시강서구
화곡점,서울특별시 강서구 곰달래로 66 (화곡동),서울특별시,강서구,37.5300223,126.8401009,596233,서울특별시강서구
낙성대점,"서울특별시 관악구 남부순환로 1862 (봉천동, 일송빌딩)",서울특별시,관악구,37.4795536,126.9565428,502251,서울특별시관악구
독산난곡점,서울특별시 관악구 남부순환로 1517-1 (신림동),서울특별시,관악구,37.4830012,126.91928090000002,502251,서울특별시관악구
보라매점,서울특별시 관악구 봉천로 283-1 (봉천동),서울특별시,관악구,37.487588,126.9328112,502251,서울특별시관악구
신림점,서울특별시 관악구 신림로 123 (신림동),서울특별시,관악구,37.4707467,126.9356588,502251,서울특별시관악구
구의광장점,서울특별시 광진구 광나루로 562,서울특별시,광진구,37.5440673,127.0918889,354344,서울특별시광진구
군자점,서울특별시 광진구 능동로 253 태영빌딩 1층,서울특별시,광진구,37.5527873,127.0768001,354344,서울특별시광진구
자양점,"서울특별시 광진구 아차산로 312, 101호 (자양동, 드림타운)",서울특별시,광진구,37.5377719,127.0773659,354344,서울특별시광진구
중곡점,서울특별시 광진구 용마산로 39 (중곡동),서울특별시,광진구,37.5571683,127.0876622,354344,서울특별시광진구
개봉점,"서울특별시 구로구 중앙로8길 11, 상가 104호 (고척동, 고척월드메르디앙)",서울특별시,구로구,37.502977,126.8632164,405516,서울특별시구로구
구로점,서울특별시 구로구 구로동로 218 (구로동),서울특별시,구로구,37.4980265,126.8827473,405516,서울특별시구로구
신도림점,"서울특별시 구로구 경인로61길 21 1층 103,104호 (신도림동, 신도림 크라운빌)",서울특별시,구로구,37.5076805,126.8840644,405516,서울특별시구로구
천왕점,"서울특별시 구로구 오류동 오리로 1160, 101호 (오류동)",서울특별시,구로구,37.487653,126.838264,405516,서울특별시구로구
가산점,서울특별시 금천구 가산로 146 (가산동),서울특별시,금천구,37.4783602,126.8910545,234173,서울특별시금천구
시흥점,서울특별시 금천구 독산로 3 904-21,서울특별시,금천구,37.4487566,126.9035899,234173,서울특별시금천구
공릉점,"서울특별시 노원구 화랑로 465, 101,102호 (공릉동, 엘네스트빌오피스텔)",서울특별시,노원구,37.6191506,127.0788952,539884,서울특별시노원구
당고개점,"서울특별시 노원구 덕릉로 740 (상계동, 정진빌딩)",서울특별시,노원구,37.6636595,127.0764125,539884,서울특별시노원구
상계점,서울특별시 노원구 노원로 558 (상계동),서울특별시,노원구,37.66155139999999,127.0571267,539884,서울특별시노원구
월계점,서울특별시 노원구 광운로 52 (월계동),서울특별시,노원구,37.6218963,127.0596997,539884,서울특별시노원구
중계점,"서울특별시 노원구 한글비석로8길 41, 상가 102호 (중계동, 주공6단지아파트)",서울특별시,노원구,37.6486487,127.0783625,539884,서울특별시노원구
도봉점,서울특별시 도봉구 도봉로 775 (도봉동),서울특별시,도봉구,37.67374829999999,127.0440016,337346,서울특별시도봉구
쌍문점,"서울특별시 도봉구 해등로 139 (창동, 미소애아파트)",서울특별시,도봉구,37.6561398,127.040199,337346,서울특별시도봉구
고대점,서울특별시 동대문구 안암로 82 (제기동),서울특별시,동대문구,37.5832071,127.0303032,346312,서울특별시동대문구
이문점,서울특별시 동대문구 이문로 163-1 (이문동),서울특별시,동대문구,37.60117260000001,127.0618597,346312,서울특별시동대문구
장안점,서울특별시 동대문구 한천로 95 (답십리동),서울특별시,동대문구,37.5700636,127.0642936,346312,서울특별시동대문구
전농점,"서울시 동대문구 서울시립대로 75 102동 106호(전농동, 전농동신성미소지움아파트)",서울특별시,동대문구,37.5783198,127.0486607,346312,서울특별시동대문구
홍릉점,"서울특별시 동대문구 회기로 30, 1층 (제기동)",서울특별시,동대문구,37.5910826,127.0398168,346312,서울특별시동대문구
사당점,서울특별시 동작구 사당로 261 (사당동),서울특별시,동작구,37.483792,126.976617,399118,서울특별시동작구
상도점,서울특별시 동작구 상도로 302 (상도동),서울특별시,동작구,37.50073610000001,126.9494065,399118,서울특별시동작구
중앙대점,서울특별시 동작구 현충로 136 (흑석동),서울특별시,동작구,37.506212700000006,126.968274,399118,서울특별시동작구
마포점,"서울특별시 마포구 백범로 123 (염리동, 신양빌딩)",서울특별시,마포구,37.5468195,126.9449237,374824,서울특별시마포구
망원점,서울특별시 마포구 월드컵로10길 5 (서교동),서울특별시,마포구,37.5545668,126.9120314,374824,서울특별시마포구
상암점,서울특별시 마포구 월드컵북로 336 (상암동),서울특별시,마포구,37.5760649,126.89469009999998,374824,서울특별시마포구
신촌점,"서울특별시 마포구 창전로 60, 1층 104~105호 (구수동, 서강빌딩)",서울특별시,마포구,37.5477946,126.9329072,374824,서울특별시마포구
서대문점,서울특별시 서대문구 통일로 149-1 (냉천동),서울특별시,서대문구,37.5675317,126.9646453,311586,서울특별시서대문구
연희점,서울특별시 서대문구 연희로 95 (연희동),서울특별시,서대문구,37.5666166,126.9304366,311586,서울특별시서대문구
홍제점,서울특별시 서대문구 세검정로 72 (홍제동),서울특별시,서대문구,37.5939523,126.94827990000002,311586,서울특별시서대문구
동서초점,"서울특별시 서초구 서운로 220, 1층 2,3호 (서초동, 대지스포츠플라자)",서울특별시,서초구,37.5027161,127.0217872,432336,서울특별시서초구
방배역점,"서울특별시 서초구 효령로 140 (방배동, 서진빌딩)",서울특별시,서초구,37.4814618,126.9993005,432336,서울특별시서초구
방배점,서울특별시 서초구 방배로 254 (방배동),서울특별시,서초구,37.4957797,126.9888464,432336,서울특별시서초구
서방배점,서울특별시 서초구 효령로 22 멤버스뷰,서울특별시,서초구,37.4774345,126.9875091,432336,서울특별시서초구
서초점,"서울특별시 서초구 사임당로 115 지하1층 B101,B102호",서울특별시,서초구,37.4911711,127.0223638,432336,서울특별시서초구
양재점,"서울특별시 서초구 바우뫼로 198, 1층 (양재동, 신우빌딩)",서울특별시,서초구,37.4796661,127.0412095,432336,서울특별시서초구
