city,district,cost,count,citycode,citycode_mod,population,sales,brand,area,pizzaschool,domino,pizzahut,mrpizza,EarningRatio
강원도,강릉시,118610000,3,42150,42,213106.0,140181666.66666666,pizzaschool,강원도 강릉시,True,False,False,False,1.182
강원도,정선군,110000000,0,42770,42,37438.0,140181666.66666666,pizzaschool,강원도 정선군,True,False,False,False,1.274
강원도,화천군,119600000,2,42790,42,24979.0,140181666.66666666,pizzaschool,강원도 화천군,True,False,False,False,1.172
강원도,홍천군,118940000,1,42720,42,69646.0,140181666.66666666,pizzaschool,강원도 홍천군,True,False,False,False,1.179
강원도,평창군,110030000,1,42760,42,42435.0,140181666.66666666,pizzaschool,강원도 평창군,True,False,False,False,1.274
강원도,태백시,98150000,0,42190,42,44415.0,140181666.66666666,pizzaschool,강원도 태백시,True,False,False,False,1.428
강원도,춘천시,123890000,5,42110,42,280098.0,140181666.66666666,pizzaschool,강원도 춘천시,True,False,False,False,1.132
강원도,철원군,100130000,1,42780,42,45840.0,140181666.66666666,pizzaschool,강원도 철원군,True,False,False,False,1.4
강원도,인제군,102110000,2,42810,42,31902.0,140181666.66666666,pizzaschool,강원도 인제군,True,False,False,False,1.373
강원도,횡성군,100790000,1,42730,42,46767.0,140181666.66666666,pizzaschool,강원도 횡성군,True,False,False,False,1.391
강원도,영월군,79340000,1,42750,42,39440.0,140181666.66666666,pizzaschool,강원도 영월군,True,False,False,False,1.767
강원도,양양군,115100000,1,42830,42,27519.0,140181666.66666666,pizzaschool,강원도 양양군,True,False,False,False,1.218
강원도,양구군,101450000,1,42800,42,23279.0,140181666.66666666,pizzaschool,강원도 양구군,True,False,False,False,1.382
강원도,속초시,115640000,0,42210,42,81497.0,140181666.66666666,pizzaschool,강원도 속초시,True,False,False,False,1.212
강원도,삼척시,99800000,0,42230,42,68053.0,140181666.66666666,pizzaschool,강원도 삼척시,True,False,False,False,1.405
강원도,동해시,103100000,0,42170,42,90808.0,140181666.66666666,pizzaschool,강원도 동해시,True,False,False,False,1.36
강원도,고성군,103760000,1,42820,42,27860.0,140181666.66666666,pizzaschool,강원도 고성군,True,False,False,False,1.351
강원도,원주시,119600000,11,42130,42,345712.0,140181666.66666666,pizzaschool,강원도 원주시,True,False,False,False,1.172
경기도,양평군,140719999,2,41830,41,116084.0,140704666.66666666,pizzaschool,경기도 양평군,True,False,False,False,1.0
경기도,여주시,121580000,2,41670,41,111143.0,140704666.66666666,pizzaschool,경기도 여주시,True,False,False,False,1.157
경기도,연천군,110030000,1,41800,41,44187.0,140704666.66666666,pizzaschool,경기도 연천군,True,False,False,False,1.279
경기도,오산시,135769999,8,41370,41,220081.0,140704666.66666666,pizzaschool,경기도 오산시,True,False,False,False,1.036
경기도,용인시,176030000,34,41461,41,1042229.0,140704666.66666666,pizzaschool,경기도 용인시,True,False,False,False,0.799
경기도,의왕시,198800000,6,41430,41,157090.0,140704666.66666666,pizzaschool,경기도 의왕시,True,False,False,False,0.708
