store,address,lng,lat,city,district,city_district
강릉2호점,강원 강릉시 임당동 86,128.8960774,37.7550196,강원도,강릉시,강원도강릉시
동해점,강원 동해시 천곡동 845번지,129.1150172,37.52285560000001,강원도,동해시,강원도동해시
속초본점,강원 속초시 교동 1021-1,128.5800173,38.1963771,강원도,속초시,강원도속초시
원주단구점,강원 원주시 단구동 1477-18,127.96612720000002,37.319997799999996,강원도,원주시,강원도원주시
원주본점,강원 원주시 단계동 782-6,127.9343757,37.3472,강원도,원주시,강원도원주시
원주봉화점,"강원 원주시 백간길 25, 벨라시티 SG프라자 측면1층",127.92630049999998,37.352082700000004,강원도,원주시,강원도원주시
춘천석사점,강원 춘천시 석사동 774-3,127.74663290000001,37.861975799999996,강원도,춘천시,강원도춘천시
춘천점,강원 춘천시 소양로3가 177-3,127.72485900000001,37.8819571,강원도,춘천시,강원도춘천시
가능점,경기 의정부시 가능동 17-1 동진빌딩 1층 104호,127.04485459999998,37.7509141,경기도,의정부시,경기도의정부시
경기광주본점,경기 광주시 광주대로 97번길 4,127.25962609999999,37.415469200000004,경기도,광주시,경기도광주시
경기양평점,경기 양평군 양평읍 공흥리 470-4,127.50208310000001,37.490549,경기도,양평군,경기도양평군
고양삼송점,경기 고양시 덕양구 삼송동 74-1,126.8905414,37.6529565,경기도,고양시,경기도고양시
과천우면점,경기 과천시 과천동 455-16 2층,126.9994831,37.4506674,경기도,과천시,경기도과천시
광명소하점,경기 광명시 소하동 1311번지 1층,126.889296,37.4502352,경기도,광명시,경기도광명시
구리교문점,경기 구리시 교문동 754-9,127.1316304,37.59363,경기도,구리시,경기도구리시
구리도농점,경기 남양주시 도농동 306-50,127.15166310000001,37.6079237,경기도,남양주시,경기도남양주시
군포점,경기 군포시 당동 745-9,126.94624640000002,37.3542734,경기도,군포시,경기도군포시
금오2호점,경기 의정부시 신곡동 782-4,127.07894209999999,37.75072539999999,경기도,의정부시,경기도의정부시
김포본점,경기 김포시 사우동 1030,126.7143422,37.6214174,경기도,김포시,경기도김포시
김포장기점,경기 김포시 장기동 1424,126.67059579999999,37.643696500000004,경기도,김포시,경기도김포시
남동탄점,경기 화성시 산척동 253-3,127.1127202,37.1727721,경기도,화성시,경기도화성시
