city,domino,mr_pizza,pizza_hut,pizza_school,domino_sales,mr_pizza_sales,pizza_school_sales,pizza_hut_sales
강원도,19.0,10.0,8.0,31.0,549942666.6666666,548063333.3333334,140181666.66666666,726643666.6666666
경기도,119.0,59.0,92.0,284.0,787219666.6666666,585568666.6666666,140704666.66666666,602323000.0
경상남도,31.0,27.0,21.0,28.0,717318333.3333334,684242666.6666666,143141000.0,518211666.6666667
경상북도,23.0,9.0,14.0,17.0,641763666.6666666,557171333.3333334,121066000.0,497779000.0
광주광역시,11.0,8.0,9.0,38.0,966534666.6666666,751342333.3333334,166859333.33333334,643043666.6666666
대구광역시,20.0,10.0,12.0,15.0,800113000.0,596117666.6666666,99188000.0,587146666.6666666
대전광역시,12.0,0.0,11.0,13.0,701767333.3333334,448316000.0,110071000.0,411980000.0
부산광역시,28.0,14.0,24.0,40.0,735865333.3333334,675324666.6666666,132230666.66666667,801248000.0
서울특별시,102.0,61.0,88.0,230.0,930407333.3333334,747634000.0,148185333.33333334,627211333.3333334
울산광역시,12.0,4.0,6.0,17.0,726895333.3333334,514229000.0,150696000.0,362167333.3333333
인천광역시,22.0,14.0,18.0,29.0,798447666.6666666,547726000.0,117516666.66666667,630267666.6666666
전라남도,9.0,6.0,8.0,36.0,681123666.6666666,590353666.6666666,159910666.66666666,573776000.0
전라북도,13.0,7.0,6.0,40.0,803489333.3333334,570316333.3333334,140832333.33333334,435295333.3333333
제주특별자치도,4.0,2.0,4.0,0.0,351021000.0,465145333.3333333,0.0,35063333.333333336
충청남도,20.0,15.0,13.0,55.0,696082666.6666666,496846666.6666667,131299000.0,712920333.3333334
충청북도,12.0,7.0,7.0,32.0,763789333.3333334,489755000.0,132517333.33333333,358965333.3333333
