store,address,city,district,lng,lat
가락시영점,서울특별시 송파구 가락로 63,서울특별시,송파구,127.10335479999999,37.499981299999995
가락점,서울특별시 송파구 송이로 93,서울특별시,송파구,127.1210598,37.4979552
가양대교점,서울특별시 강서구 화곡로68길 36,서울특별시,강서구,126.85637179999999,37.5585374
가양점,서울특별시 강서구 강서로 506,서울특별시,강서구,126.84201680000001,37.5705736
가운점,경기도 남양주시 가운로2길 59,경기도,남양주시,127.1571601,37.600438399999994
가재울점,서울특별시 서대문구 거북골로 120,서울특별시,서대문구,126.9157281,37.576173499999996
가평점,경기도 가평군 가평읍 읍내리 가화로 122,경기도,가평읍,127.51335,37.831024
간석2동점,인천광역시 남동구 석산로184번길 1,인천광역시,남동구,126.71258030000001,37.460538299999996
간성점,강원도 고성군 간성읍 간성로 23,강원도,고성군,128.47234939999998,38.3786616
갈현점,서울특별시 은평구 갈현로 262,서울특별시,은평구,126.91634590000001,37.6202156
강남대점,경기도 용인시 기흥구 강남로 8,경기도,용인시,127.1273364,37.2708911
강릉교동점,강원도 강릉시 교동광장로 145,강원도,강릉시,128.8809847,37.7643194
강릉주문진점,강원도 강릉시 주문진읍 주문로 7,강원도,강릉시,128.8250279,37.8844585
강북경찰서점,서울특별시 강북구 오패산로 405,서울특별시,강북구,127.0269324,37.6369398
강원원통점,강원도 인제군 북면 원통로 181,강원도,인제군,128.20394720000002,38.1232245
강일점,서울특별시 강동구 아리수로97길 19,서울특별시,강동구,127.1760274,37.5670476
강화점,인천광역시 강화군 강화읍 강화대로 432,인천광역시,강화군,126.4837009,37.7475267
개롱점,서울특별시 송파구 오금로 407,서울특별시,송파구,127.13639029999999,37.4980109
개봉한진점,서울특별시 구로구 개봉로3길 56,서울특별시,구로구,126.8532347,37.486350099999996
개포1단지점,서울특별시 강남구 선릉로6길 8,서울특별시,강남구,127.06170279999999,37.482561100000005
개화산역점,서울특별시 강서구 양천로 19,서울특별시,강서구,126.80602150000001,37.5727696
거여역점,서울특별시 송파구 양산로 42,서울특별시,송파구,127.1445023,37.4926414
거창점,경상남도 거창군 거창읍 대동리 850-4 ,경상남도,거창군,127.91511240000001,35.6874667
경남고성읍점,경상남도 고성군 고성읍 송학리 264-2,경상남도,고성군,128.3259376,34.9773506
경남창녕읍점,경상남도 창녕군 창녕읍 교상리 30-3,경상남도,창녕군,128.4998851,35.5404718
경남합천점,경상남도 합천군 합천읍 합천리 592-2,경상남도,합천군,128.1606477,35.567088700000006
경리단점,서울특별시 용산구 회나무로13길 10,서울특별시,용산구,126.98959099999999,37.5397771
경복궁역점,서울특별시 종로구 자하문로 19,서울특별시,종로구,126.97180729999998,37.5777469
경북전문대점,경상북도 영주시 대학로 80-1,경상북도,영주시,128.615826,36.8078779
경산사동점,경상북도 경산시 사동 558 ,경상북도,경산시,128.7541201,35.8203393
경신여고사거리점,광주광역시 북구 운암동 110-5 ,광주광역시,북구,126.88963559999999,35.1727866
경희대점,서울특별시 동대문구 회기로 170,서울특별시,동대문구,127.0548487,37.5902995
계룡점,충청남도 계룡시 금암동 162-4 ,충청남도,계룡시,127.25192790000001,36.2732713
계양구청점,인천광역시 계양구 도두리로 33,인천광역시,계양구,126.73809890000001,37.534096000000005
고덕점,서울특별시 강동구 동남로71길 38,서울특별시,강동구,127.1540865,37.5520312
고양능곡점,경기도 고양시 덕양구 토당로 125,경기도,고양시,126.8174643,37.626397
고양도래울점,경기도 고양시 덕양구 도래울2로 3,경기도,고양시,126.8698746,37.630322799999995
고양동점,경기도 고양시 덕양구 혜음로 30,경기도,고양시,126.90252690000001,37.702924700000004
고양삼송점,경기도 고양시 덕양구 삼송로 94-12,경기도,고양시,126.8846119,37.6503429
고양신원마을점,경기도 고양시 덕양구 권율대로 889,경기도,고양시,126.8894779,37.6634715
고양원당점,경기도 고양시 덕양구 호국로790번길 52,경기도,고양시,126.83876629999999,37.6552217
고잔법원점,경기도 안산시 단원구 광덕1로 159,경기도,안산시,126.82716840000002,37.308155799999994
고척점,서울특별시 구로구 고척로 123-2,서울특별시,구로구,126.8479957,37.502294899999995
고흥녹동점,전라남도 고흥군 도양읍 천마로 86,전라남도,고흥군,127.1380503,34.530436
곤지암점,경기도 광주시 곤지암읍 곤지암로 72,경기도,광주시,127.3387513,37.3495445
곰달래점,서울특별시 강서구 곰달래로 272,서울특별시,강서구,126.8631828,37.5321866
공릉점,서울특별시 노원구 동일로192길 87,서울특별시,노원구,127.07758170000001,37.62767
공주신관점,충청남도 공주시 신관동 653-6 ,충청남도,공주시,127.13742590000001,36.4733237
공주중동점,충청남도 공주시 중동 218번지 ,충청남도,공주시,127.12449509999999,36.453323299999994
공항시장역점,서울특별시 강서구 공항대로3길 38,서울특별시,강서구,126.81065749999999,37.5632038
관산점,경기도 고양시 덕양구 통일로768번길 9,경기도,고양시,126.86521880000001,37.6881525
관악드림타운점,서울특별시 관악구 은천로25길 63,서울특별시,관악구,126.94864240000001,37.4888441
광교상현역점,경기도 용인시 수지구 광교중앙로 314,경기도,용인시,127.06974050000001,37.297873200000005
광교웰빙타운점,경기도 수원시 영통구 대학로 103,경기도,수원시,127.0471611,37.3046533
광교힐스테이트점,경기도 수원시 영통구 도청로 65,경기도,수원시,127.050467,37.287934
광명금당사거리,경기도 광명시 금당로 36,경기도,광명시,126.88199709999999,37.4588537
광명새마을시장점,경기도 광명시 광명로 837,경기도,광명시,126.8508481,37.474100899999996
광명소하점,경기도 광명시 기아로 9,경기도,광명시,126.88067659999999,37.4366392
광명시청점,경기도 광명시 오리로 932,경기도,광명시,126.8595885,37.478116
광명점,경기도 광명시 광복로 66,경기도,광명시,126.8656,37.4898263
광양광영점,전라남도 광양시 금영로 132-1 ,전라남도,광양시,127.7198129,34.9624542
광양마동점,전라남도 광양시 마동 1023-2 ,전라남도,광양시,127.69006329999999,34.95486939999999
광양읍점,전라남도 광양시 광양읍 읍내리 285-2 ,전라남도,광양시,127.5866282,34.975371200000005
광양중동점,전라남도 광양시 중동 1655 ,전라남도,광양시,127.6934514,34.9368844
광장점,서울특별시 광진구 아차산로 499,서울특별시,광진구,127.09704369999999,37.5418265
광주1호점,경기도 광주시 오포읍 마루들길 208,경기도,광주시,127.2547485,37.3783382
광주경안점,경기도 광주시 경안로 32,경기도,광주시,127.25728840000001,37.4098013
광주광천점,광주광역시 서구 광천동 199-4 ,광주광역시,서구,126.87837169999999,35.1658413
광주금호점,광주광역시 서구 금호동 805번지,광주광역시,서구,126.8566197,35.131487
광주내방점,광주광역시 서구 내방동 576 ,광주광역시,서구,126.873749,35.15658320000001
광주동림점,광주광역시 서구 동천동 658 동천주공6단지 104호,광주광역시,서구,126.871605,35.1702485
광주두암2동점,광주광역시 북구 두암3동 916-6 ,광주광역시,북구,126.93670929999999,35.1714199
광주문흥점,"광주광역시 북구 문흥동 995-6 ""모아상가""",광주광역시,북구,126.9238014,35.1852289
광주백운점,광주광역시 남구 백운동 460 ,광주광역시,남구,126.9061422,35.139364799999996
광주봉선시장점,"광주광역시 남구 봉선동 985 라인광장제2차상가 103,4호 ",광주광역시,남구,126.90999040000001,35.1298302
광주봉선점,광주광역시 남구 봉선동 114-10 ,광주광역시,남구,126.91279750000001,35.1236322
