store,city,district,population,address,lng,lat,city_district
가락시영점,서울특별시,송파구,679824.0,서울특별시 송파구 가락로 63,127.10335479999999,37.499981299999995,서울특별시송파구
가락점,서울특별시,송파구,679824.0,서울특별시 송파구 송이로 93,127.1210598,37.4979552,서울특별시송파구
가양대교점,서울특별시,강서구,596233.0,서울특별시 강서구 화곡로68길 36,126.85637179999999,37.5585374,서울특별시강서구
가양점,서울특별시,강서구,596233.0,서울특별시 강서구 강서로 506,126.84201680000001,37.5705736,서울특별시강서구
가운점,경기도,남양주시,687575.0,경기도 남양주시 가운로2길 59,127.1571601,37.600438399999994,경기도남양주시
가재울점,서울특별시,서대문구,311586.0,서울특별시 서대문구 거북골로 120,126.9157281,37.576173499999996,서울특별시서대문구
가평점,경기도,가평읍,324417.0,경기도 가평군 가평읍 읍내리 가화로 122,127.51335,37.831024,경기도가평읍
간석2동점,인천광역시,남동구,536255.0,인천광역시 남동구 석산로184번길 1,126.71258030000001,37.460538299999996,인천광역시남동구
간성점,강원도,고성군,27860.0,강원도 고성군 간성읍 간성로 23,128.47234939999998,38.3786616,강원도고성군
갈현점,서울특별시,은평구,484267.0,서울특별시 은평구 갈현로 262,126.91634590000001,37.6202156,서울특별시은평구
강남대점,경기도,용인시,1042229.0,경기도 용인시 기흥구 강남로 8,127.1273364,37.2708911,경기도용인시
강릉교동점,강원도,강릉시,213106.0,강원도 강릉시 교동광장로 145,128.8809847,37.7643194,강원도강릉시
강릉주문진점,강원도,강릉시,213106.0,강원도 강릉시 주문진읍 주문로 7,128.8250279,37.8844585,강원도강릉시
강북경찰서점,서울특별시,강북구,316604.0,서울특별시 강북구 오패산로 405,127.0269324,37.6369398,서울특별시강북구
강원원통점,강원도,인제군,31902.0,강원도 인제군 북면 원통로 181,128.20394720000002,38.1232245,강원도인제군
강일점,서울특별시,강동구,424727.0,서울특별시 강동구 아리수로97길 19,127.1760274,37.5670476,서울특별시강동구
강화점,인천광역시,강화군,68992.0,인천광역시 강화군 강화읍 강화대로 432,126.4837009,37.7475267,인천광역시강화군
개롱점,서울특별시,송파구,679824.0,서울특별시 송파구 오금로 407,127.13639029999999,37.4980109,서울특별시송파구
개봉한진점,서울특별시,구로구,405516.0,서울특별시 구로구 개봉로3길 56,126.8532347,37.486350099999996,서울특별시구로구
개포1단지점,서울특별시,강남구,542108.0,서울특별시 강남구 선릉로6길 8,127.06170279999999,37.48256110000001,서울특별시강남구
