rank,title,year
1,Us ,2019
2,Avengers: Endgame ,2019
3,Toy Story 4 ,2019
4,If Beale Street Could Talk ,2019
5,Booksmart ,2019
6,Shazam! ,2019
7,Spider-Man: Far From Home ,2019
8,Rocketman ,2019
9,They Shall Not Grow Old ,2019
10,Apollo 11 ,2019
11,John Wick: Chapter 3 - Parabellum ,2019
12,Amazing Grace ,2019
13,The Farewell ,2019
14,Ash Is Purest White ,2019
15,Knock Down the House ,2019
16,How to Train Your Dragon: The Hidden World ,2019
17,Stan & Ollie ,2019
18,Parasite ,2019
19,Captain Marvel ,2019
20,3 Faces ,2019
21,Fighting with My Family ,2019
22,Maiden ,2019
23,Woman at War ,2019
24,Hail Satan? ,2019
25,Birds of Passage ,2019
26,Transit ,2019
27,Wild Rose ,2019
28,Little Woods ,2019
29,Gloria Bell ,2019
30,Deadwood: The Movie ,2019
31,The Lighthouse ,2019
32,The Last Black Man in San Francisco ,2019
33,The Heiresses ,2019
34,Too Late to Die Young ,2019
35,Homecoming: A Film by Beyoncé ,2019
36,Toni Morrison: The Pieces I Am ,2019
37,In Fabric ,2019
38,The Mustang ,2019
39,The LEGO Movie 2: The Second Part ,2019
40,Shadow ,2019
41,The Wild Pear Tree ,2019
42,The Kid Who Would Be King ,2019
43,Ask Dr. Ruth ,2019
44,Diane ,2019
45,High Flying Bird ,2019
46,An Elephant Sitting Still ,2019
47,Ray & Liz ,2019
48,Rolling Thunder Revue: A Bob Dylan Story By Martin Scorsese ,2019
49,Missing Link ,2019
50,Midsommar ,2019
51,Rafiki ,2019
52,Echo In the Canyon ,2019
53,The Souvenir ,2019
54,Long Day's Journey Into Night ,2019
55,Once Upon a Time In Hollywood ,2019
56,Disneynature: Penguins ,2019
57,Always Be My Maybe ,2019
58,Little Monsters ,2019
59,Non-Fiction ,2019
60,Long Shot ,2019
61,The Biggest Little Farm ,2019
62,Giant Little Ones ,2019
63,Starfish ,2019
64,Arctic ,2019
65,I Am Mother ,2019
66,Fyre ,2019
67,Wild Nights with Emily ,2019
68,Pain and Glory ,2019
69,Sauvage / Wild ,2019
70,The Art of Self-Defense ,2019
71,Crawl ,2019
72,High Life ,2019
73,Late Night ,2019
74,Diamantino ,2019
75,Framing John DeLorean ,2019
76,The Image Book ,2019
77,Meeting Gorbachev ,2019
78,Plus One ,2019
79,Rust Creek ,2019
80,To Dust ,2019
81,Her Smell ,2019
82,Pavarotti ,2019
83,The Hole in the Ground ,2019
84,The Boy Who Harnessed the Wind ,2019
85,The Brink ,2019
86,Everybody Knows ,2019
87,Diego Maradona ,2019
88,Girl ,2019
89,Dogman ,2019
90,On the Basis of Sex ,2019
91,Dragon Ball Super: Broly ,2019
92,Loro ,2019
93,Knife + Heart ,2019
94,Never Look Away ,2019
95,Someone Great ,2019
96,American Woman ,2019
97,"Ruben Brandt, Collector ",2019
98,Hotel Mumbai ,2019
99,Fast Color ,2019
100,Sorry Angel ,2019
