시도,시군구,학교명,주소,lng,lat,분류
부산광역시,남구,부경대학교,부산광역시 남구 용소로 45,129.1059875,35.13354870000001,대학교
부산광역시,남구,부경대학교 기술경영전문대학원,부산광역시 남구 신선로 365,129.089275,35.115132,대학교
부산광역시,금정구,부산대학교,부산광역시 금정구 부산대학로63번길 2,129.0798453,35.23337979999999,대학교
부산광역시,영도구,한국해양대학교,부산광역시 영도구 태종로 727,129.08920039999998,35.076358,대학교
부산광역시,남구,경성대학교,부산광역시 남구 수영로 309,129.0969338,35.142245700000004,대학교
부산광역시,영도구,고신대학교,부산광역시 영도구 와치로 194,129.06313,35.0789636,대학교
부산광역시,서구,고신대학교보건대학원,부산광역시 서구 감천로 262,129.0139595,35.0809636,대학교
부산광역시,사상구,동서대학교,부산광역시 사상구 주례로 47,129.00845,35.1449821,대학교
부산광역시,사하구,동아대학교,부산광역시 사하구 낙동대로550번길 37,128.9675077,35.1161349,대학교
부산광역시,서구,동아대학교 경영대학원,부산광역시 서구 구덕로 225,129.0187732,35.1049071,대학교
부산광역시,서구,동아대학교 의학전문대학원,부산광역시 서구 대신공원로 32,129.018725,35.120757,대학교
부산광역시,부산진구,동의대학교,부산광역시 부산진구 엄광로 176,129.034615,35.1418304,대학교
부산광역시,금정구,부산가톨릭대학교,부산광역시 금정구 오륜대로 57,129.0975125,35.2445013,대학교
부산광역시,금정구,부산외국어대학교,부산광역시 금정구 금샘로485번길 65,129.07905,35.26705,대학교
부산광역시,사상구,신라대학교,부산광역시 사상구 백양대로700번길 140,128.99770859999998,35.1682792,대학교
부산광역시,부산진구,인제대학교,부산광역시 부산진구 복지로 75,129.02086090000003,35.145517299999995,대학교
부산광역시,부산진구,인제대학교 보건대학원,부산광역시 부산진구 복지로 75,129.02086090000003,35.145517299999995,대학교
부산광역시,남구,동명대학교,부산광역시 남구 신선로 428,129.1016625,35.1220654,대학교
부산광역시,해운대구,영산대학교,부산광역시 해운대구 반송순환로 142,129.15571770000003,35.22423679999999,대학교
부산광역시,연제구,부산교육대학교,부산광역시 연제구 교대로 24,129.0744242,35.1968785,대학교
부산광역시,사상구,경남정보대학교,부산광역시 사상구 주례로 45,129.011275,35.146640000000005,대학교
부산광역시,금정구,대동대학교,부산광역시 금정구 동부곡로27번길 88,129.09586470000002,35.2291325,대학교
부산광역시,해운대구,동부산대학교,부산광역시 해운대구 운봉길 60,129.1478375,35.23350960000001,대학교
부산광역시,부산진구,동의과학대학교,부산광역시 부산진구 양지로 54,129.0725355,35.1660106,대학교
부산광역시,사하구,동주대학교,부산광역시 사하구 사리로55번길 16,128.9969625,35.1049487,대학교
부산광역시,연제구,부산경상대학교,부산광역시 연제구 고분로 170,129.09981299999998,35.184901,대학교
부산광역시,부산진구,부산여자대학교,부산광역시 부산진구 진남로 506,129.0728998,35.1687777,대학교
부산광역시,북구,부산과학기술대학교,부산광역시 북구 시랑로132번길 88,129.0042209,35.1944554,대학교
부산광역시,남구,부산예술대학교,부산광역시 남구 못골번영로71번길 74,129.08434920000002,35.1425583,대학교
부산광역시,사상구,부산디지털대학교,부산광역시 사상구 주례로 57,129.009472,35.146299,대학교
부산광역시,연제구,화신사이버대학교,부산광역시 연제구 고분로191번길 1,129.10326909999998,35.185751,대학교
부산광역시,북구,한국폴리텍Ⅶ대학 부산캠퍼스,부산광역시 북구 만덕대로155번길 99,129.01924590000002,35.2186576,대학교
