시도,시군구,지점명,주소,lng,lat,브랜드
부산광역시,강서구,부산명지점,부산광역시 강서구 명지동 3442-2,128.9231171,35.0967007,피자알볼로
부산광역시,금정구,구서점,부산광역시 금정구 구서동 775-15,129.0881504,35.2485381,피자알볼로
부산광역시,기장군,정관신도시점,부산 기장군 정관읍 방곡4로 19,129.1872716,35.3234062,피자알볼로
부산광역시,남구,대연점,부산광역시 남구 대연동 324-21,129.0958264,35.1354436,피자알볼로
부산광역시,동래구,부산사직점,부산광역시 동래구 사직동 70-22,129.0647539,35.1990948,피자알볼로
부산광역시,동래구,명륜점,부산광역시 동래구 명륜동 696-17,129.0824926,35.2109673,피자알볼로
부산광역시,북구,화명점,부산광역시 북구 화명동 1130-9,129.013454,35.2294069,피자알볼로
부산광역시,북구,부산만덕점,부산광역시 북구 만덕동 915-5,129.0284089,35.2116424,피자알볼로
부산광역시,사하구,하단점,부산광역시 사하구 하신중앙로336,128.9670759,35.1052344,피자알볼로
부산광역시,수영구,광안점,부산광역시 수영구 광안동 174-5,129.116226,35.1527993,피자알볼로
부산광역시,연제구,연산1호점,부산광역시 연제구 연산동 313-46,129.0917723,35.1896246,피자알볼로
부산광역시,연제구,연제구청점,부산광역시 연제구 연산2동 821-3,129.0834841,35.1752519,피자알볼로
부산광역시,해운대구,좌동점,부산광역시 해운대구 좌동 1295-12,129.1750487,35.1741789,피자알볼로
부산광역시,해운대구,해운대점,부산광역시 해운대구 재송동 1209,129.1251666,35.1765558,피자알볼로
부산광역시,기장군,기장교리점,부산 기장군 기장읍 차성로 422-18,129.2160771,35.2533895,오구쌀피자
부산광역시,부산진구,당감1동점,부산 부산진구 당감로 40-1,129.0394934,35.1652269,오구쌀피자
부산광역시,연제구,부산거제동점,부산 연제구 세병로 16,129.0846659,35.1901739,오구쌀피자
부산광역시,해운대구,재송반여점,부산 해운대구 반여로155번길 17-4,129.1247176,35.2054574,오구쌀피자
