city,district,population,평당 매매가,pizza_school,mr_pizza,pizza_hut,domino
강원도,강릉시,213106.0,551.1,118610000,219873000,360097000,370345000
강원도,정선군,37438.0,465.0,110000000,208680000,336850000,348820000
강원도,화천군,24979.0,561.0,119600000,221160000,362770000,372820000
강원도,홍천군,69646.0,554.4,118940000,220302000,360988000,371170000
강원도,평창군,42435.0,465.3,110030000,208719000,336931000,348895000
강원도,태백시,44415.0,346.5,98150000,193275000,304855000,319195000
강원도,춘천시,280098.0,603.9,123890000,226737000,374353000,383545000
강원도,철원군,45840.0,366.3,100130000,195849000,310201000,324145000
강원도,인제군,31902.0,386.1,102110000,198423000,315547000,329095000
강원도,횡성군,46767.0,372.9,100790000,196707000,311983000,325795000
강원도,영월군,39440.0,158.39999999999995,79340000,168822000,254068000,272170000
강원도,양양군,27519.0,516.0,115100000,215310000,350620000,361570000
강원도,양구군,23279.0,379.5,101450000,197565000,313765000,327445000
강원도,속초시,81497.0,521.4,115640000,216012000,352078000,362920000
강원도,삼척시,68053.0,363.0,99800000,195420000,309310000,323320000
강원도,동해시,90808.0,396.0,103100000,199710000,318220000,331570000
강원도,고성군,27860.0,402.6,103760000,200568000,320002000,333220000
강원도,원주시,345712.0,561.0,119600000,221160000,362770000,372820000
경기도,양평군,116084.0,772.1999999999997,140719999,248615999,419793999,425619999
경기도,여주시,111143.0,580.8,121580000,223734000,368116000,377770000
경기도,연천군,44187.0,465.3,110030000,208719000,336931000,348895000
경기도,오산시,220081.0,722.6999999999997,135769999,242180999,406428999,413244999
경기도,용인시,1042229.0,1125.3,176030000,294519000,515131000,513895000
경기도,의왕시,157090.0,1353.0,198800000,324120000,576610000,570820000
경기도,파주시,453366.0,795.3,143030000,251619000,426031000,431395000
경기도,이천시,214814.0,719.4,135440000,241752000,405538000,412420000
경기도,평택시,500787.0,706.1999999999997,134119999,240035999,401973999,409119999
경기도,포천시,149603.0,557.6999999999998,119269999,220730999,361878999,371994999
경기도,화성시,781507.0,1049.4,168440000,284652000,494638000,494920000
경기도,양주시,219789.0,660.0,129500000,234030000,389500000,397570000
경기도,의정부시,450332.0,848.0999999999997,148309999,258482999,440286999,444594999
경기도,안양시,573296.0,1547.6999999999994,218269999,349430999,629178999,619494999
경기도,하남시,262261.0,1877.7,251270000,392331000,718279000,701995000
경기도,안산시,657988.0,973.5,160850000,274785000,474145000,475945000
경기도,안성시,183665.0,531.3,116630000,217299000,354751000,365395000
경기도,가평군,62740.0,537.9,117290000,218157000,356533000,367045000
경기도,고양시,1045533.0,1089.0,172400000,289800000,505330000,504820000
경기도,과천시,58218.0,3930.3,456530000,659169000,1272481000,1215145000
경기도,광주시,366092.0,861.3,149630000,260199000,443851000,447895000
경기도,구리시,201952.0,1448.6999999999994,208369999,336560999,602448999,594744999
경기도,군포시,275207.0,1164.9,179990000,299667000,525823000,523795000
경기도,광명시,323527.0,1798.5,243350000,382035000,696895000,682195000
경기도,남양주시,687575.0,927.3,156230000,268779000,461671000,464395000
경기도,동두천시,95375.0,534.6,116960000,217728000,355642000,366220000
경기도,부천시,837937.0,1151.7,178670000,297951000,522259000,520495000
경기도,성남시,949316.0,2201.1,283610000,434373000,805597000,782845000
경기도,수원시,1198461.0,1145.1,178010000,297093000,520477000,518845000
경기도,시흥시,459601.0,881.0999999999997,151609999,262772999,449196999,452844999
경기도,김포시,429752.0,986.7,162170000,276501000,477709000,479245000
경상남도,창원시,1049897.0,772.1999999999997,140719999,248615999,419793999,425619999
경상남도,남해군,44163.0,359.7,99470000,194991000,308419000,322495000
경상남도,합천군,45679.0,306.9,94190000,188127000,294163000,309295000
경상남도,함양군,39922.0,524.6999999999998,115969999,216440999,352968999,363744999
경상남도,하동군,47056.0,398.0,103300000,199970000,318760000,332070000
경상남도,통영시,132676.0,561.0,119600000,221160000,362770000,372820000
경상남도,창녕군,62860.0,297.0,93200000,186840000,291490000,306820000
경상남도,양산시,349925.0,683.0999999999998,131809999,237032999,395736999,403344999
경상남도,산청군,35713.0,539.0,117400000,218300000,356830000,367320000
경상남도,사천시,112975.0,524.6999999999998,115969999,216440999,352968999,363744999
경상남도,밀양시,106240.0,580.8,121580000,223734000,368116000,377770000
경상남도,김해시,536707.0,673.1999999999998,130819999,235745999,393063999,400869999
